gene_a,gene_b,weight
RBBP5,UBE2W,0.10550185292959213
CYBRD1,GSN,0.10520904511213303
VOPP1,CFLAR,0.10497264564037323
KRT18,S100P,0.10477004945278168
FN1,LGALS1,0.10460666567087173
SFN,S100A14,0.10414224863052368
KRT18,AZGP1,0.10402217507362366
ADAMTS4,BGN,0.10382239520549774
SPARC,RBMS3,0.10366864502429962
PARP14,TAP1,0.10365571081638336
DMTF1,ESCO1,0.10355804115533829
ING5,ZNF431,0.10320877283811569
CLK4,POU2F1,0.10307753831148148
KRT17,MIA,0.10298877954483032
CDC42SE2,KIAA1551,0.1028486043214798
PARP14,PJA2,0.10252006351947784
ZFAND2A,ID2,0.10231243818998337
KRT8,SOX9,0.10229794681072235
POLK,MTR,0.10209265351295471
DMTF1,DDHD1,0.10198058187961578
ELF3,GABRP,0.10184739530086517
HERC1,NPHP3,0.10176583379507065
IGFBP6,RARRES2,0.10170471668243408
CRISPLD2,LMCD1,0.10170352458953857
KRT8,KRT5,0.10147776454687119
PDZK1IP1,CLDN3,0.1012583002448082
CD9,EFNA1,0.1008676141500473
MSL2,SUPV3L1,0.10018501430749893
