condition,gene,weighted_degree,degree
ER_tumor,NRIP1,0.3902604281902313,2
ER_tumor,TRAM1,0.3899387121200561,3
ER_tumor,NGDN,0.3895538672804832,3
ER_tumor,TAB2,0.3885340988636017,3
ER_tumor,CCDC12,0.3883214294910431,3
ER_tumor,ESF1,0.3872831389307976,3
ER_tumor,FTL,0.3859206736087799,3
ER_tumor,PMM1,0.3856602683663368,3
ER_tumor,CWF19L2,0.385137066245079,3
ER_tumor,GAPVD1,0.3830254226922989,3
ER_tumor,STAT2,0.3820185288786888,2
ER_tumor,ZNF148,0.3814944848418236,3
ER_tumor,YBEY,0.3804066404700279,3
ER_tumor,NAAA,0.3796650469303131,2
ER_tumor,DCAF8,0.3771707341074943,3
ER_tumor,MSL1,0.3770855590701103,3
ER_tumor,SERINC3,0.3761237412691116,3
ER_tumor,CCND3,0.3759485706686973,3
ER_tumor,CTNNBL1,0.3746468052268028,3
ER_tumor,PIGM,0.3737106919288635,3
ER_tumor,SERINC5,0.3736554682254791,2
ER_tumor,CYB5R3,0.3723189234733581,3
ER_tumor,MPHOSPH8,0.3721234053373337,3
ER_tumor,PHF3,0.3716814815998077,2
ER_tumor,TCOF1,0.3710546940565109,3
ER_tumor,SERTAD1,0.3702786862850189,3
ER_tumor,IDI1,0.3697860091924667,2
ER_tumor,RB1,0.3680961281061172,3
ER_tumor,SEC22B,0.3669586479663849,2
ER_tumor,FKBP3,0.3659392893314361,2
ER_tumor,SETD2,0.3627372533082962,3
ER_tumor,REEP3,0.3623615652322769,2
ER_tumor,KIF1C,0.3616737276315689,3
ER_tumor,KRCC1,0.3587628602981567,2
ER_tumor,SPNS1,0.3571542724967003,3
ER_tumor,HLA-DRA,0.3569345027208328,2
ER_tumor,D2HGDH,0.3563131093978882,2
ER_tumor,NARF,0.3546112924814224,3
ER_tumor,HMGCS1,0.3526870608329773,3
ER_tumor,PTTG1IP,0.3525676429271698,1
ER_tumor,PTK2,0.3517848774790764,3
ER_tumor,TNKS1BP1,0.3509126156568527,2
ER_tumor,GABBR1,0.3505991399288177,2
ER_tumor,YWHAH,0.3491997197270393,3
ER_tumor,UBR4,0.3482332602143287,3
ER_tumor,LIMCH1,0.3481874391436577,2
ER_tumor,PTGFRN,0.3460258468985557,2
ER_tumor,FYTTD1,0.3450380936264992,2
ER_tumor,PPP2R5C,0.3449696749448776,2
ER_tumor,MICALL2,0.3441727831959724,3
ER_tumor,AK3,0.3427934050559997,2
ER_tumor,MCMBP,0.3419947251677513,3
ER_tumor,ZFP36,0.3418446183204651,2
ER_tumor,SLC11A2,0.3411795049905777,2
ER_tumor,PRDM2,0.3408157899975776,2
ER_tumor,FBXL5,0.3403242975473404,2
ER_tumor,GNAQ,0.3401845544576645,3
ER_tumor,PCSK7,0.3400489091873169,3
ER_tumor,DPH5,0.3380872160196304,3
ER_tumor,SNX9,0.3370493352413177,2
ER_tumor,TRADD,0.3355036526918411,2
ER_tumor,SYNJ2,0.3351830318570137,3
ER_tumor,SETX,0.3335196077823639,3
ER_tumor,ATP6AP2,0.3322507590055465,2
ER_tumor,MED21,0.3315602093935013,2
ER_tumor,RPN1,0.3271533548831939,2
ER_tumor,CASC4,0.3261701166629791,2
ER_tumor,DYNLL2,0.3258622139692306,2
ER_tumor,CYFIP1,0.3245263248682022,3
ER_tumor,CNOT9,0.3234650045633316,2
ER_tumor,TINF2,0.3229061514139175,2
ER_tumor,ACADM,0.3226265460252762,2
ER_tumor,ADH5,0.3217433094978332,2
ER_tumor,TCERG1,0.3210799768567085,2
ER_tumor,HSPA1A,0.3201019316911697,2
ER_tumor,CDC73,0.3199099227786064,2
ER_tumor,NISCH,0.3180994018912315,2
ER_tumor,CYBRD1,0.3169164657592773,2
ER_tumor,SENP6,0.3164034858345985,2
ER_tumor,SPARC,0.3162622898817062,2
ER_tumor,CACYBP,0.3147655874490738,2
ER_tumor,CAP1,0.3145366758108139,3
ER_tumor,DSP,0.3119246214628219,2
ER_tumor,KARS,0.3117884993553161,2
ER_tumor,KMT2A,0.3111177086830139,2
ER_tumor,TCEAL1,0.3108971565961838,2
ER_tumor,OARD1,0.3105123490095138,2
ER_tumor,GOLGB1,0.3103273585438728,2
ER_tumor,NSRP1,0.3099552690982818,2
ER_tumor,TRPS1,0.3097692355513572,2
ER_tumor,IMMT,0.3088182359933853,2
ER_tumor,PRR14,0.3081178814172745,2
ER_tumor,MAP1LC3B,0.3065377622842788,2
ER_tumor,ITGB5,0.3056182637810707,2
ER_tumor,JUNB,0.3050312399864197,2
ER_tumor,SSR3,0.3030789792537689,1
ER_tumor,NCKAP1,0.3026564493775368,2
ER_tumor,WDR11,0.3025054335594177,2
ER_tumor,MAP3K20,0.2994593381881714,2
ER_tumor,XPC,0.2993088066577911,2
ER_tumor,ARHGAP1,0.2986192852258682,2
ER_tumor,SCAF4,0.2981746792793274,1
ER_tumor,ATP2C1,0.2955927774310112,2
ER_tumor,METTL23,0.2952084094285965,2
ER_tumor,RPUSD3,0.2941717728972435,2
ER_tumor,MAPK6,0.2930017411708832,2
ER_tumor,TMEM181,0.2925400137901306,2
ER_tumor,WDR1,0.2886234223842621,2
ER_tumor,HK1,0.2885170504450798,2
ER_tumor,CNPPD1,0.2872057557106018,2
ER_tumor,CPSF7,0.2870562225580215,2
ER_tumor,UBR2,0.2868629693984985,2
ER_tumor,CCDC107,0.2867467254400253,2
ER_tumor,DNAJC7,0.2867119610309601,1
ER_tumor,SLTM,0.2867119610309601,1
ER_tumor,TMEM245,0.2862080037593841,2
ER_tumor,REST,0.285296306014061,2
ER_tumor,PURA,0.2846450731158256,2
ER_tumor,S100A4,0.2840263843536377,2
ER_tumor,RNF103,0.2830523177981376,2
ER_tumor,EEA1,0.2819148749113083,2
ER_tumor,MED13L,0.2817893549799919,2
ER_tumor,FUT8,0.281321533024311,2
ER_tumor,SDF2L1,0.2804010361433029,2
ER_tumor,RC3H1,0.2776956558227539,2
ER_tumor,SERPINB1,0.2769093438982963,2
ER_tumor,SDAD1,0.2762062847614288,2
ER_tumor,CD164,0.2756884470582008,2
ER_tumor,BAZ1B,0.2755022644996643,2
ER_tumor,MED28,0.2746306210756302,2
ER_tumor,RPA3,0.2699711918830871,1
ER_tumor,H2AFV,0.2699711918830871,1
ER_tumor,SNRPB2,0.2684150338172912,2
ER_tumor,EWSR1,0.2678148671984672,2
ER_tumor,CLK1,0.2671470493078232,2
ER_tumor,RABGGTB,0.2663305476307869,2
ER_tumor,CYCS,0.2659512758255005,2
