condition,community,n_nodes
Normal_BRCA1_-_pre-neoplastic,91,2
Normal_BRCA1_-_pre-neoplastic,92,2
Normal_BRCA1_-_pre-neoplastic,93,2
Normal_BRCA1_-_pre-neoplastic,94,2
Normal_BRCA1_-_pre-neoplastic,95,2
Normal_BRCA1_-_pre-neoplastic,96,2
Normal_BRCA1_-_pre-neoplastic,97,2
Normal_BRCA1_-_pre-neoplastic,98,2
Normal_BRCA1_-_pre-neoplastic,99,2
Normal_BRCA1_-_pre-neoplastic,100,2
Normal_BRCA1_-_pre-neoplastic,101,2
Normal_BRCA1_-_pre-neoplastic,102,2
Normal_BRCA1_-_pre-neoplastic,103,2
Normal_BRCA1_-_pre-neoplastic,104,2
Normal_BRCA1_-_pre-neoplastic,105,2
Normal_BRCA1_-_pre-neoplastic,106,2
Normal_BRCA1_-_pre-neoplastic,107,2
Normal_BRCA1_-_pre-neoplastic,108,2
Normal_BRCA1_-_pre-neoplastic,109,2
Normal_BRCA1_-_pre-neoplastic,110,2
Normal_BRCA1_-_pre-neoplastic,111,2
Normal_BRCA1_-_pre-neoplastic,112,2
Normal_BRCA1_-_pre-neoplastic,113,2
Normal_BRCA1_-_pre-neoplastic,114,2
Normal_BRCA1_-_pre-neoplastic,115,2
Normal_BRCA1_-_pre-neoplastic,116,2
Normal_BRCA1_-_pre-neoplastic,117,2
Normal_BRCA1_-_pre-neoplastic,118,2
Normal_BRCA1_-_pre-neoplastic,119,2
Normal_BRCA1_-_pre-neoplastic,120,2
Normal_BRCA1_-_pre-neoplastic,121,2
Normal_BRCA1_-_pre-neoplastic,122,2
Normal_BRCA1_-_pre-neoplastic,123,2
Normal_BRCA1_-_pre-neoplastic,124,2
Normal_BRCA1_-_pre-neoplastic,125,2
Normal_BRCA1_-_pre-neoplastic,126,2
Normal_BRCA1_-_pre-neoplastic,127,2
Normal_BRCA1_-_pre-neoplastic,128,2
Normal_BRCA1_-_pre-neoplastic,129,2
Normal_BRCA1_-_pre-neoplastic,130,2
Triple_negative_BRCA1_tumor,1,155
Triple_negative_BRCA1_tumor,2,129
Triple_negative_BRCA1_tumor,3,89
Triple_negative_BRCA1_tumor,4,80
Triple_negative_BRCA1_tumor,5,75
Triple_negative_BRCA1_tumor,6,58
Triple_negative_BRCA1_tumor,7,47
Triple_negative_BRCA1_tumor,8,41
Triple_negative_BRCA1_tumor,9,23
Triple_negative_BRCA1_tumor,10,23
Triple_negative_BRCA1_tumor,11,16
Triple_negative_BRCA1_tumor,12,15
Triple_negative_BRCA1_tumor,13,14
Triple_negative_BRCA1_tumor,14,11
Triple_negative_BRCA1_tumor,15,10
Triple_negative_BRCA1_tumor,16,9
Triple_negative_BRCA1_tumor,17,9
Triple_negative_BRCA1_tumor,18,9
Triple_negative_BRCA1_tumor,19,9
Triple_negative_BRCA1_tumor,20,8
Triple_negative_BRCA1_tumor,21,8
Triple_negative_BRCA1_tumor,22,8
Triple_negative_BRCA1_tumor,23,6
Triple_negative_BRCA1_tumor,24,6
Triple_negative_BRCA1_tumor,25,6
Triple_negative_BRCA1_tumor,26,6
Triple_negative_BRCA1_tumor,27,6
Triple_negative_BRCA1_tumor,28,5
Triple_negative_BRCA1_tumor,29,5
Triple_negative_BRCA1_tumor,30,4
Triple_negative_BRCA1_tumor,31,4
Triple_negative_BRCA1_tumor,32,4
Triple_negative_BRCA1_tumor,33,4
Triple_negative_BRCA1_tumor,34,4
Triple_negative_BRCA1_tumor,35,4
Triple_negative_BRCA1_tumor,36,3
Triple_negative_BRCA1_tumor,37,3
Triple_negative_BRCA1_tumor,38,3
Triple_negative_BRCA1_tumor,39,3
Triple_negative_BRCA1_tumor,40,3
Triple_negative_BRCA1_tumor,41,3
Triple_negative_BRCA1_tumor,42,3
Triple_negative_BRCA1_tumor,43,3
Triple_negative_BRCA1_tumor,44,3
Triple_negative_BRCA1_tumor,45,3
Triple_negative_BRCA1_tumor,46,3
Triple_negative_BRCA1_tumor,47,2
Triple_negative_BRCA1_tumor,48,2
Triple_negative_BRCA1_tumor,49,2
Triple_negative_BRCA1_tumor,50,2
Triple_negative_BRCA1_tumor,51,2
Triple_negative_BRCA1_tumor,52,2
Triple_negative_BRCA1_tumor,53,2
Triple_negative_BRCA1_tumor,54,2
Triple_negative_BRCA1_tumor,55,2
Triple_negative_BRCA1_tumor,56,2
Triple_negative_BRCA1_tumor,57,2
Triple_negative_BRCA1_tumor,58,2
Triple_negative_BRCA1_tumor,59,2
Triple_negative_BRCA1_tumor,60,2
Triple_negative_BRCA1_tumor,61,2
Triple_negative_BRCA1_tumor,62,2
Triple_negative_BRCA1_tumor,63,2
Triple_negative_BRCA1_tumor,64,2
Triple_negative_BRCA1_tumor,65,2
Triple_negative_BRCA1_tumor,66,2
Triple_negative_BRCA1_tumor,67,2
Triple_negative_BRCA1_tumor,68,2
Triple_negative_BRCA1_tumor,69,2
Triple_negative_BRCA1_tumor,70,2
Triple_negative_BRCA1_tumor,71,2
Triple_negative_BRCA1_tumor,72,2
Triple_negative_BRCA1_tumor,73,2
Triple_negative_BRCA1_tumor,74,2
Triple_negative_BRCA1_tumor,75,2
Triple_negative_BRCA1_tumor,76,2
Triple_negative_BRCA1_tumor,77,2
Triple_negative_BRCA1_tumor,78,2
Triple_negative_BRCA1_tumor,79,2
Triple_negative_BRCA1_tumor,80,2
Triple_negative_BRCA1_tumor,81,2
Triple_negative_BRCA1_tumor,82,2
Triple_negative_BRCA1_tumor,83,2
Triple_negative_BRCA1_tumor,84,2
Triple_negative_BRCA1_tumor,85,2
Triple_negative_BRCA1_tumor,86,2
Triple_negative_BRCA1_tumor,87,2
Triple_negative_BRCA1_tumor,88,2
Triple_negative_BRCA1_tumor,89,2
Triple_negative_BRCA1_tumor,90,2
Triple_negative_BRCA1_tumor,91,2
Triple_negative_BRCA1_tumor,92,2
Triple_negative_BRCA1_tumor,93,2
Triple_negative_BRCA1_tumor,94,2
Triple_negative_BRCA1_tumor,95,2
Triple_negative_BRCA1_tumor,96,2
Triple_negative_BRCA1_tumor,97,2
Triple_negative_BRCA1_tumor,98,2
Triple_negative_BRCA1_tumor,99,2
Triple_negative_BRCA1_tumor,100,2
Triple_negative_BRCA1_tumor,101,2
Triple_negative_BRCA1_tumor,102,2
Triple_negative_BRCA1_tumor,103,2
Triple_negative_BRCA1_tumor,104,2
Triple_negative_BRCA1_tumor,105,2
Triple_negative_BRCA1_tumor,106,2
Triple_negative_BRCA1_tumor,107,2
Triple_negative_BRCA1_tumor,108,2
Triple_negative_BRCA1_tumor,109,2
Triple_negative_BRCA1_tumor,110,2
Triple_negative_BRCA1_tumor,111,2
Triple_negative_BRCA1_tumor,112,2
Triple_negative_BRCA1_tumor,113,2
Triple_negative_BRCA1_tumor,114,2
Triple_negative_BRCA1_tumor,115,2
Triple_negative_BRCA1_tumor,116,2
Triple_negative_BRCA1_tumor,117,2
Triple_negative_BRCA1_tumor,118,2
Triple_negative_BRCA1_tumor,119,2
Triple_negative_BRCA1_tumor,120,2
Triple_negative_tumor,1,154
Triple_negative_tumor,2,91
Triple_negative_tumor,3,66
Triple_negative_tumor,4,51
Triple_negative_tumor,5,34
Triple_negative_tumor,6,34
Triple_negative_tumor,7,31
Triple_negative_tumor,8,28
Triple_negative_tumor,9,26
Triple_negative_tumor,10,24
Triple_negative_tumor,11,22
Triple_negative_tumor,12,21
Triple_negative_tumor,13,19
Triple_negative_tumor,14,18
Triple_negative_tumor,15,17
Triple_negative_tumor,16,16
Triple_negative_tumor,17,16
Triple_negative_tumor,18,15
Triple_negative_tumor,19,15
Triple_negative_tumor,20,14
Triple_negative_tumor,21,13
Triple_negative_tumor,22,13
Triple_negative_tumor,23,13
Triple_negative_tumor,24,12
Triple_negative_tumor,25,12
Triple_negative_tumor,26,12
Triple_negative_tumor,27,12
Triple_negative_tumor,28,11
Triple_negative_tumor,29,11
Triple_negative_tumor,30,11
Triple_negative_tumor,31,10
Triple_negative_tumor,32,9
Triple_negative_tumor,33,9
Triple_negative_tumor,34,9
Triple_negative_tumor,35,8
Triple_negative_tumor,36,8
Triple_negative_tumor,37,7
Triple_negative_tumor,38,7
Triple_negative_tumor,39,6
Triple_negative_tumor,40,6
Triple_negative_tumor,41,6
Triple_negative_tumor,42,6
Triple_negative_tumor,43,6
Triple_negative_tumor,44,6
Triple_negative_tumor,45,5
Triple_negative_tumor,46,5
Triple_negative_tumor,47,5
Triple_negative_tumor,48,5
Triple_negative_tumor,49,4
Triple_negative_tumor,50,4
Triple_negative_tumor,51,4
Triple_negative_tumor,52,4
Triple_negative_tumor,53,4
Triple_negative_tumor,54,4
Triple_negative_tumor,55,4
Triple_negative_tumor,56,4
Triple_negative_tumor,57,4
Triple_negative_tumor,58,4
Triple_negative_tumor,59,4
Triple_negative_tumor,60,3
Triple_negative_tumor,61,3
Triple_negative_tumor,62,3
Triple_negative_tumor,63,3
Triple_negative_tumor,64,3
Triple_negative_tumor,65,3
Triple_negative_tumor,66,3
Triple_negative_tumor,67,3
Triple_negative_tumor,68,3
Triple_negative_tumor,69,3
Triple_negative_tumor,70,3
Triple_negative_tumor,71,3
Triple_negative_tumor,72,3
Triple_negative_tumor,73,3
Triple_negative_tumor,74,3
Triple_negative_tumor,75,3
Triple_negative_tumor,76,3
Triple_negative_tumor,77,3
Triple_negative_tumor,78,3
Triple_negative_tumor,79,3
Triple_negative_tumor,80,3
Triple_negative_tumor,81,3
Triple_negative_tumor,82,3
Triple_negative_tumor,83,3
Triple_negative_tumor,84,3
Triple_negative_tumor,85,3
Triple_negative_tumor,86,3
Triple_negative_tumor,87,3
Triple_negative_tumor,88,3
Triple_negative_tumor,89,3
Triple_negative_tumor,90,3
Triple_negative_tumor,91,3
Triple_negative_tumor,92,3
Triple_negative_tumor,93,3
Triple_negative_tumor,94,2
Triple_negative_tumor,95,2
Triple_negative_tumor,96,2
Triple_negative_tumor,97,2
Triple_negative_tumor,98,2
Triple_negative_tumor,99,2
Triple_negative_tumor,100,2
Triple_negative_tumor,101,2
Triple_negative_tumor,102,2
Triple_negative_tumor,103,2
Triple_negative_tumor,104,2
Triple_negative_tumor,105,2
Triple_negative_tumor,106,2
Triple_negative_tumor,107,2
Triple_negative_tumor,108,2
Triple_negative_tumor,109,2
Triple_negative_tumor,110,2
Triple_negative_tumor,111,2
Triple_negative_tumor,112,2
Triple_negative_tumor,113,2
Triple_negative_tumor,114,2
Triple_negative_tumor,115,2
Triple_negative_tumor,116,2
Triple_negative_tumor,117,2
Triple_negative_tumor,118,2
Triple_negative_tumor,119,2
Triple_negative_tumor,120,2
Triple_negative_tumor,121,2
Triple_negative_tumor,122,2
Triple_negative_tumor,123,2
Triple_negative_tumor,124,2
Triple_negative_tumor,125,2
Triple_negative_tumor,126,2
Triple_negative_tumor,127,2
Triple_negative_tumor,128,2
Triple_negative_tumor,129,2
Triple_negative_tumor,130,2
Triple_negative_tumor,131,2
Triple_negative_tumor,132,2
Triple_negative_tumor,133,2
Triple_negative_tumor,134,2
Triple_negative_tumor,135,2
Triple_negative_tumor,136,2
Triple_negative_tumor,137,2
Triple_negative_tumor,138,2
Triple_negative_tumor,139,2
Triple_negative_tumor,140,2
Triple_negative_tumor,141,2
Triple_negative_tumor,142,2
Triple_negative_tumor,143,2
Triple_negative_tumor,144,2
Triple_negative_tumor,145,2
Triple_negative_tumor,146,2
Triple_negative_tumor,147,2
Triple_negative_tumor,148,2
Triple_negative_tumor,149,2
Triple_negative_tumor,150,2
Triple_negative_tumor,151,2
Triple_negative_tumor,152,2
Triple_negative_tumor,153,2
Triple_negative_tumor,154,2
Triple_negative_tumor,155,2
Triple_negative_tumor,156,2
Triple_negative_tumor,157,2
