condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
HER2_tumor,,20,41,3,2,0.2590782418847084,RIPOR1 | DIAPH2 | ENG,RIPOR1,DIAPH2,ENG
HER2_tumor,,20,42,3,3,0.24113758405049643,C21orf91 | RIC8B | PUDP,C21orf91,RIC8B,PUDP
HER2_tumor,,20,43,3,2,0.2374420166015625,ZYX | NFE2L2 | LIMS1,ZYX,NFE2L2,LIMS1
HER2_tumor,,20,44,3,2,0.2665355056524277,CD4 | DOCK10 | PLEKHA2,CD4,DOCK10,PLEKHA2
HER2_tumor,,20,45,3,2,0.25194982439279556,RAP2C | TMC6 | WRAP73,RAP2C,TMC6,WRAP73
HER2_tumor,,20,46,3,2,0.2436942309141159,LMCD1 | F2R | ID1,LMCD1,F2R,ID1
HER2_tumor,,20,47,3,3,0.23391792674859366,MICALL2 | OSBPL5 | SHROOM1,MICALL2,OSBPL5,SHROOM1
HER2_tumor,,20,48,3,2,0.27950373291969294,RNF166 | NMB | TRIP4,RNF166,NMB,TRIP4
HER2_tumor,,20,49,3,2,0.25811261683702463,APOC1 | APOE | TREM2,APOC1,APOE,TREM2
HER2_tumor,,20,50,3,2,0.21954137086868286,FAM198B | ACE | SORBS3,FAM198B,ACE,SORBS3
HER2_tumor,,20,51,3,2,0.2223674356937408,CORO1C | LIPA | RAP2A,CORO1C,LIPA,RAP2A
HER2_tumor,,20,52,3,2,0.21393103152513498,CD93 | ELK3 | ITGA5,CD93,ELK3,ITGA5
HER2_tumor,,20,53,3,2,0.22883274406194687,FHL3 | CMTM3 | PDLIM7,FHL3,CMTM3,PDLIM7
HER2_tumor,,20,54,3,2,0.22129392623901367,NPTN | RUFY2 | TRIM5,NPTN,RUFY2,TRIM5
HER2_tumor,,20,55,2,1,0.4752495884895324,U2AF1L4 | JMY,U2AF1L4,JMY,
HER2_tumor,,20,56,2,1,0.4381158649921417,HSPA1A | HSPA1B,HSPA1A,HSPA1B,
HER2_tumor,,20,57,2,1,0.3966814279556274,AKAP7 | TIAM1,AKAP7,TIAM1,
HER2_tumor,,20,58,2,1,0.3848496079444885,S100A9 | S100A8,S100A9,S100A8,
HER2_tumor,,20,59,2,1,0.3669081032276153,CENPU | WDR76,CENPU,WDR76,
HER2_tumor,,20,60,2,1,0.353302925825119,LPAR6 | AL390728.6,LPAR6,AL390728.6,
