condition,gene_a,gene_b,weight
ER_tumor,RAB6A,ARMCX3,0.1980619132518768
ER_tumor,NUDCD3,BCL10,0.1980574280023574
ER_tumor,MED10,USP9X,0.1980480849742889
ER_tumor,ANKRD10,USP9X,0.1979631036520004
ER_tumor,ZNF514,NOL4L,0.1975429654121399
ER_tumor,SETD5,PWP1,0.1974328011274337
ER_tumor,MED10,KDM5A,0.1974255293607711
ER_tumor,TAGLN,SPARC,0.1972850710153579
ER_tumor,JAK1,USP34,0.1963970512151718
ER_tumor,DYNC1I2,CEBPZ,0.1958921402692794
ER_tumor,SRRM1,RNMT,0.1958114504814148
ER_tumor,SRRM1,MGST3,0.1957063823938369
ER_tumor,ATAD1,VPS26A,0.1956094652414322
ER_tumor,TPR,C22orf39,0.1955591142177581
ER_tumor,NKTR,GOLGB1,0.1952614933252334
ER_tumor,NUDCD3,RLIM,0.1950643211603164
ER_tumor,ATP13A3,IREB2,0.1948578953742981
ER_tumor,POGZ,SF3A1,0.1945917308330536
ER_tumor,LSM8,TM2D3,0.1945158392190933
ER_tumor,LUC7L2,BBX,0.1943825036287307
ER_tumor,SUGP2,WDR26,0.1942990273237228
ER_tumor,CTDNEP1,STAG2,0.1941428482532501
ER_tumor,ATG12,PDHB,0.193765640258789
ER_tumor,SRRM1,NUDT21,0.1937641352415084
ER_tumor,LGALS8,SLC35F6,0.1937637627124786
ER_tumor,NCKAP1,NOTCH3,0.1936222612857818
ER_tumor,HOOK3,EIF4EBP2,0.1935343295335769
ER_tumor,NISCH,CUL4A,0.1933391988277435
ER_tumor,BDP1,USP34,0.1932456344366073
ER_tumor,CDC42SE1,LCOR,0.1929828226566314
ER_tumor,TCTN3,ELF2,0.1926197260618209
ER_tumor,RND3,PLEKHA1,0.1925927996635437
ER_tumor,ZC3H13,SMAP1,0.1925259977579116
ER_tumor,KRCC1,TCEAL1,0.1923307031393051
ER_tumor,ZNF207,PHIP,0.1921463012695312
ER_tumor,PAK2,COPB1,0.1920946985483169
ER_tumor,RPUSD3,DHX30,0.1917233765125274
ER_tumor,LEPROT,TMEM30A,0.1916865110397339
ER_tumor,LEPROT,CD59,0.1916840374469757
ER_tumor,HNRNPR,YME1L1,0.1915396451950073
ER_tumor,PTPN12,ITGB5,0.1913293302059173
ER_tumor,C9orf16,CHMP4A,0.1912752091884613
ER_tumor,PKN2,PMPCA,0.1909335702657699
ER_tumor,INTS11,HPS1,0.190741553902626
ER_tumor,SPPL3,DYNLL2,0.1905234158039093
ER_tumor,CDC40,IWS1,0.1904136538505554
ER_tumor,ALKBH5,CIZ1,0.1902468800544738
ER_tumor,IAH1,PHIP,0.1902106553316116
ER_tumor,CEBPZ,RFC1,0.1897926479578018
ER_tumor,PPP2R2A,LRPPRC,0.1897727251052856
ER_tumor,FAM204A,OARD1,0.1895511150360107
ER_tumor,IAH1,GIGYF2,0.1894408911466598
ER_tumor,BDP1,NSUN5,0.1891613155603408
ER_tumor,WDR43,ZNF518A,0.1889834702014923
ER_tumor,ZNF207,PPP1R10,0.1889564096927642
ER_tumor,EBLN3P,GOLGA7,0.1887157708406448
ER_tumor,GGNBP2,ITGB1BP1,0.1885620206594467
ER_tumor,MCL1,PHIP,0.1885351538658142
ER_tumor,LRPAP1,TTC1,0.1884680986404419
ER_tumor,RAB21,NRDE2,0.1883823871612548
ER_tumor,GMFB,MAP3K2,0.1881732940673828
ER_tumor,BDP1,TM2D3,0.1879846304655075
ER_tumor,NCOA2,CHD6,0.1879350692033767
ER_tumor,CCAR1,IWS1,0.1877695024013519
ER_tumor,MT-CYB,MT-ATP6,0.1877445727586746
ER_tumor,INTS11,POP4,0.1874125748872757
ER_tumor,TJP1,RYK,0.1873800307512283
ER_tumor,MMS19,POLL,0.1873616874217987
ER_tumor,BAZ2B,HADHA,0.1873229593038559
ER_tumor,ARMCX3,PHIP,0.1873109340667724
ER_tumor,METTL23,ILF3-DT,0.1871379017829895
ER_tumor,STAT6,SLC11A2,0.1870162785053253
ER_tumor,RBBP5,C1orf56,0.1868588775396347
ER_tumor,ADAM17,CNIH1,0.1868577897548675
ER_tumor,IAH1,ARMCX3,0.1866556257009506
ER_tumor,RFC1,SRSF4,0.1866033673286438
ER_tumor,ARMCX3,IFT20,0.1863823682069778
ER_tumor,KDM5A,PHIP,0.1863196641206741
