condition,source_conditions,gene,weighted_degree,degree
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,INO80D,0.7918360978364944,6
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,DMKN,0.7865190505981445,5
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,VPS53,0.7804457396268845,5
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,KLHL20,0.7648837268352509,4
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,TPM2,0.7619754746556282,5
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,HLA-DRA,0.7557541131973267,3
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,AZGP1,0.7471452355384827,4
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,RANBP2,0.7358311042189598,5
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ISG15,0.7290267795324326,4
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,MAFF,0.7238395661115646,6
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,SNIP1,0.719858817756176,4
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,ZC3H8,0.7160355895757675,5
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,TAGLN,0.7136256247758865,5
