condition,source_conditions,community,n_nodes
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,28,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,29,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,30,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,31,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,32,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,33,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,34,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,35,3
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,36,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,37,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,38,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,39,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,40,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,41,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,42,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,43,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,44,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,45,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,46,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,47,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,48,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,49,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,50,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,51,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,52,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,53,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,54,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,55,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,56,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,57,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,58,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,59,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,60,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,61,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,62,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,63,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,64,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,65,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,66,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,67,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,68,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,69,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,70,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,71,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,72,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,73,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,74,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,75,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,76,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,77,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,78,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,79,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,80,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,81,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,82,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,83,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,84,2
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,85,2
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,1,16
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,2,14
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,3,10
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,4,9
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,5,6
Normal__plus__Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal | Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,6,5
